,twitter_id,sex,partito
274,@Mohamme45721944,M,1
275,@WTurchetto,M,1
276,@IMssadag,M,1
277,@Cirosavastano7,M,1
278,@Paolo83744207,M,1
279,@maurizio_lm,M,1
280,@Marco6653648928,M,1
281,@HagiarLiberati,M,1
282,@antcrisalli24,M,1
283,@GaetanoTolomeo5,M,1
284,@FantiPAOLA,F,1
285,@andreateo88,M,1
286,@vitosperoni,M,1
287,@Claudia96975061,F,1
288,@RafaelMontesan2,M,1
289,@GiovanniMarras4,M,1
290,@umbertodt,M,1
291,@LucaLoIacono,M,1
292,@cicciomellace,M,1
293,@ale81421615,F,1
294,@Ruskin13311923,M,1
295,@ConzDenis,M,1
296,@latottolina,F,1
297,@Alessan91097968,M,1
298,@Alemar187,M,1
299,@Rita71492560,F,1
300,@xavier_molinari,M,1
301,@flamibonni,F,-1
302,@Enrico38765563,M,1
303,@IVALDO1962,M,1
304,@r_tad,M,1
305,@Mario_Shark,M,1
306,@GiuseppeBiond14,M,1
307,@MarcoHarald,M,-1
308,@robertocamarra,M,1
309,@BettyGaspari,F,1
310,@pdaniele6717,M,1
311,@Trap_Strunz,M,1
312,@sabinods,M,1
313,@SamueleTizian,M,-1
314,@verdeoroitalia,U,1
315,@ConoscitoreGio,M,1
316,@vincenzo_liotta,M,1
317,@BenitoMelis1,M,1
318,@Cippy8315,M,1
319,@francopistis,M,1
320,@Giacarlo10,M,1
321,@DQuadroni,M,1
322,@OtySeven,M,1
323,@Claudia86061813,F,1
324,@hermannb29,M,1
325,@ApprendiR,M,1
326,@Giacomi89809922,M,1
327,@Mauro06530572,M,1
328,@Casa124599025,U,1
329,@phra_32,M,1
330,@Salva50132007,M,1
331,@Ilragionier88,M,1
332,@zappone_roberto,M,1
333,@paolodionisi6,M,1
334,@AlbertoPapa12,M,1
335,@Natasci61307098,M,1
336,@l_conf,M,1
337,@Pierlui19329913,M,1
338,@SebastianoLanz4,M,1
339,@CinelliLive,F,1
340,@RoccoAbramo,M,1
341,@guglielmomonte5,M,1
342,@farsa_e,M,1
343,@InProprieta,U,1
344,@LINOPINGARO,M,1
345,@Barone14532794,M,1
346,@CarloTuroli,M,1
347,@DISABILITYDIVI1,U,1
348,@Carmine13051963,M,1
349,@GianniMagini,M,1
350,@CettyMoscatt,F,1
351,@bina_vale,F,1
352,@mikysantoro,M,1
353,@brunelli76,M,1
354,@Napoletano1078,M,1
355,@Cesarin27998217,F,1
356,@Roby43311022,M,1
357,@sandra53273518,F,1
358,@CatenaGiovanni,M,1
359,@AlessandroPerl6,M,1
360,@nicoferlav,M,1
361,@umbertofranzoni,M,1
362,@elenaperoni,F,1
363,@AlmaGaudiomonte,F,1
364,@3netta1,F,1
365,@GCicchitti,M,1
366,@vellinijp68,M,1
367,@stefysavbs,F,1
368,@metal71a,M,1
369,@CeddiaMaurizio,M,1
370,@paoino,M,1
371,@Marco11855196,M,1
372,@Pio99481609,M,1
373,@angelo542510,M,1
374,@giorgione99,M,1
375,@dariocapurso,M,1
376,@ANTONIO92688673,M,1
377,@Ascione1989,M,1
378,@chiamami_tilde,F,1
379,@Sonia95853454,F,1
380,@AlessandroAnge9,M,1
381,@itemitur,M,1
382,@BaisMoreno,M,1
383,@Silvana53921480,F,1
384,@Marco60454658,M,1
385,@paolo_viri,M,1
386,@federicosalucc1,M,1
387,@ACapasso67,M,1
388,@piscopia_la,M,1
389,@TarantoBiagio,M,1
390,@annaecce,F,1
391,@Guero1977,M,1
392,@cla_rullo,F,1
393,@menellamarullo,F,1
394,@albamonte_lisa,F,1
395,@FalconaraLega,U,1
396,@marco_renosto,M,1
397,@VincenzoTr75,M,1
398,@CelorLoredana,F,1
399,@daben1973,M,1
400,@diclemente61,M,1
401,@giuru17,M,1
402,@orchideatribale,F,1
403,@simonaottogalli,F,1
404,@Giovann33744234,M,1
405,@patripatty5,F,1
406,@Maramon17,M,1
407,@Roby12022584,M,1
408,@simonifabio,M,1
409,@CaterinaBerri,F,1
410,@Anna83472515,F,1
411,@MicheleTomasi11,M,1
412,@eleamoda,F,1
413,@Luicot11,M,1
414,@morenomonti1939,M,1
415,@simorocc,M,1
416,@DaniloPrestia,M,1
417,@giuse190001,M,1
418,@superinkas,M,1
419,@stefani70410177,F,1
420,@nmbreno1,M,1
421,@DavidePietro94,M,-1
422,@ciodafaa,M,1
423,@gixy7,M,1
424,@umbydux,M,1
425,@Titta_Modica,M,1
426,@achiele95,F,1
427,@DonatelloFaggi,M,1
428,@puccinelliraffa,F,1
429,@Lanza__Matteo,M,1
430,@gnagnolohc,M,1
431,@CBarometro,M,1
432,@Simona94528788,F,1
433,@86_niko,M,1
434,@Vincenz58148227,M,1
435,@stefano_romiti,M,1
436,@Deborah14956882,M,1
437,@rubendario1964,M,1
438,@robbie65037871,M,1
439,@Mariella473,M,1
440,@DavideSierchio,M,1
441,@Carla98409234,F,1
442,@MarcoPessina4,M,1
443,@MarzioBergamo,M,1
444,@PerfidaPatty,F,1
445,@dino_farnesi,M,1
446,@RenzoBorgon6,M,1
447,@alessiacuffia,F,1
448,@beppezini,M,1
449,@AnnaMar83369738,F,1
450,@Michelecarbo,M,1
451,@polipo51,M,1
452,@Giacomino731,M,1
453,@lucascattolini,M,1
454,@raffaeleSOTU96,M,1
455,@VeronicaCocco2,F,1
456,@63Pavan,F,1
457,@EnzoDiGloria19,M,1
458,@FontanaFr,M,1
459,@motomimmo70,M,1
460,@Francescomarica,M,1
461,@pa1pa2,M,1
462,@a64be1ad6c7b4b9,M,1
463,@contemao76,M,1
464,@ferodner,M,1
465,@1977Luciani,M,1
466,@AndreottiChris,M,1
467,@Daniele10071226,M,1
468,@AngeloTomei,M,1
469,@supernovasimona,F,1
470,@CanalesEmilie,F,1
471,@BalsamoGiovanni,M,1
472,@nasti_vittorio,M,1
473,@MenabueLuca,M,1
474,@AlexFerrari8336,M,1
475,@donatomarinosc2,M,1
476,@PaoloFasanaro,M,1
477,@tellix66,F,1
478,@VignozziSonia,F,1
479,@Habanero971,M,1
480,@fminisola,M,1
481,@mimmo94115804,M,1
482,@GiudittaDeBene1,F,1
483,@franco27041963,M,1
484,@RGarinella,M,1
485,@CPalindromo,M,1
486,@AMAZZO1,M,-1
487,@405e61106d1d474,M,1
488,@AdrianBeqiri3,M,1
489,@diogene318,M,1
490,@Lorenzo62596097,M,1
491,@alessandro_rao,M,1
492,@frances95945863,F,1
493,@cdigiammarco,M,1
494,@Lucius3247,M,1
495,@DanieleCampi2,M,1
496,@Genny26477888,M,1
497,@Piero__88,M,1
498,@DocenteGiusi,M,1
499,@violatitty,F,1
500,@Genny26477888,M,1
501,@Paola14761792,F,1
502,@Claudio04779143,M,1
503,@vivianA01197021,F,1
504,@lampedusano1,M,1
505,@BiancaGuberti,F,1
506,@CuddyEsmeralda,F,1
507,@Mavrisio69,M,1
508,@LidiaDuca,F,1
509,@pilo_milo,M,1
510,@Roberta09212891,F,1
511,@peppediana2409,M,1
512,@FulviaFrongia,F,1
513,@danieleditorino,M,1
514,@Lorenzo47103171,M,1
515,@silvyg33,F,1
516,@Claudio16755489,M,1
517,@Viviana01256703,F,1
518,@Mauro31567315,M,1
519,@Lazzarotti_1,M,1
520,@EnricoCaramelli,M,1
521,@Massimo35284233,M,1
522,@BarbaraTomasel3,F,1
523,@GiuseppeBertel2,M,1
524,@ValerioPetretto,M,1
525,@FFlyer77,M,1
526,@elisa_eboli,F,1
527,@Stefani89725024,F,1
528,@7Volee,F,1
529,@Renato46383687,M,1
530,@doctormaw,M,1
531,@ffrancesko,M,1
532,@Luigi_Ferrante_,M,1
533,@giginets,M,1
534,@nicola4841,M,1
535,@ArcoriaAntonio,M,1
536,@Maria19847032,F,1
537,@sergiogarofal10,M,1
538,@scialfa_luigi,M,1
539,@RodolfoBabuscio,M,1
540,@GiDiBartolo,M,1
541,@Charbelfarah777,M,1
542,@Flavio12777279,M,1
543,@seraticus1,M,1
544,@GionPinerolo,M,1
545,@Frances35386571,M,1
546,@RVenieri,M,1
547,@barbapastellata,F,1
548,@GiusCASTelliniC,M,1
549,@it9cng,M,1
550,@CianfariniMaria,F,1
551,@Ugo43012702,M,1
552,@fabiomasotta,M,1
553,@azzurracancella,F,1
554,@Vincenz37285863,M,1
555,@raffaellamucci1,F,1
556,@GabbianelliLuig,M,1
557,@carlobonini,M,1
558,@gennasco,M,1
559,@lipari_gino,M,1
560,@Valescolari84,F,1
561,@Claudiabellicc1,F,1
562,@tommasomaria,M,1
563,@TrenTDafarix,F,1
564,@Alidanardini1,F,1
565,@dany91rocchi,M,1
566,@lacivettagufa,M,1
567,@SIspanico,M,1
568,@AndreaC09578099,M,1
569,@albertonanut1,M,1
570,@Vinc_Falabella,M,1
571,@StefanoBisogni,M,1
572,@Robvag,M,1
573,@AngeloTeani,M,1
574,@andream37006950,M,1
575,@Marco31028751,M,1
576,@giusepp92017894,M,1
577,@noemidandrea5,F,1
578,@axl76,M,1
579,@soniabavoni,F,1
580,@tamara_pini,F,1
581,@Gianni130273,M,1
582,@CorrenteChiara,F,-1
583,@stefanoita62,M,1
584,@Mchfrinco,U,1
585,@fr84vitale,M,1
586,@albertomorda,M,1
587,@sam_tantillo,M,-1
588,@micelilivia_8,F,1
589,@olimpia92195804,F,1
590,@donatellacister,F,1
591,@michele_genna94,F,1
592,@fabrivincenzo,M,1
593,@daniele86629669,M,1
594,@aladinapoli,F,1
595,@AngeloGrandi,M,1
596,@MucelliSandro,M,1
597,@OnRobertoRosso,M,1
598,@Rosario86383813,M,1
599,@AlpinoGabriele,M,1
600,@Kimera003,F,1
601,@adrianopulit,M,1
602,@GiuliaBerillo,F,1
603,@Veleno87148408,F,1
604,@grazialippolis,F,1
605,@simonebeltrami,M,1
606,@GabrieleLalli,M,-1
607,@toniocaradonna,M,1
608,@antoniop_88,M,1
609,@angelagiordy,F,1
610,@RosaGuida4,F,1
611,@xreynoldsisbae,M,1
612,@raffyci,F,1
613,@Sabrystella5,F,1
614,@Salvato07121946,M,1
615,@ilCampestrini,M,1
616,@JhonHDSmith,M,1
617,@Giovann65405348,M,1
618,@frasigno66,M,1
619,@leleilenia,M,1
620,@germano1982,M,1
621,@Gilda92385469,F,1
622,@massi_vero,F,1
623,@tonival46,M,1
624,@Franco30554674,M,1
625,@Chiaracapomoco,F,1
626,@pieroecetty,M,1
627,@puntocasa2,M,1
628,@JohnSoft62,M,1
629,@1Zolesi,M,1
630,@d6cac331a8b640e,F,1
631,@Aldo09481786,M,1
632,@patriziatraver8,F,1
633,@Antonio19647358,M,1
634,@maxxo55,M,1
635,@Andrea84410820,M,1
636,@Mariaco39828200,F,1
637,@FrancescoI15,M,1
638,@Paola_zrz,F,1
639,@QGiaretta,M,1
640,@stefano101273,M,1
641,@AngeloLibrale,M,1
642,@texuiller,M,1
643,@nibbio76,M,1
644,@graziellapuzel1,F,1
645,@FabrizioTonon1,M,1
646,@AnneliseRoska,F,1
647,@alfrsalamone,M,1
648,@MorrisdjRoma,M,1
649,@63_ruspa,M,1
650,@Nero22284678,M,1
651,@Massimo35812121,M,1
652,@kyolegendd,M,1
653,@alekas7,F,1
654,@Stefano02883521,M,1
655,@GiorgioSpallone,M,1
656,@ValliMauro,M,1
657,@RonAldo71949762,M,1
658,@pola1959,F,1
659,@salvodivi,M,1
660,@rosati_sandro,M,1
661,@dimauto79,M,1
662,@FioriLuisiano,M,1
663,@ColimoroAntonio,M,1
664,@matteosalvini,F,1
665,@robertofalanga3,M,1
666,@iq_196,M,1
667,@APunginelli,M,1
668,@elena_lazzarini,F,1
669,@francescorey491,M,1
670,@alessiotuccini,M,1
671,@samuele73759230,M,1
672,@annamontana14,F,1
673,@VicCecchinato,M,1
674,@dvdSolinas,M,1
675,@GiuseppinaDiS14,F,1
676,@FrRagozzino,F,1
677,@C1CC10B3LL0,M,1
678,@Misirloue1592,M,1
679,@Giuli38568201,M,1
680,@folgorix67,M,1
681,@alessiopagnott,M,1
682,@fiubby,M,1
683,@luigi_macchia,M,1
684,@viola1864,F,1
685,@xmoph83,M,1
686,@MarcoMarkone064,M,1
687,@vincenz67303975,M,1
688,@ITALOPTIMUM,M,1
689,@ss100866,F,1
690,@Ondanomala3,F,1
691,@SSestesso,M,1
692,@AndreaCarbone77,M,1
693,@padano1000,M,1
694,@gabriellaverard,F,1
695,@DadulaVecchio,M,1
696,@soternicol,M,1
697,@Poalo76882919,M,1
698,@robert33139996,M,1
699,@Brown1970Burr,M,1
700,@nicolaCEFALI,M,1
701,@LARROTINO3,M,1
702,@acconsento,F,1
703,@Mattew555,M,1
704,@steficuci2017,F,1
705,@valentinaa758,F,1
706,@SalvatoreFogl12,M,1
707,@ocramgy,M,1
708,@Franca09530603,F,1
709,@dovicolupo,M,1
710,@SilvanaSmorti,F,1
711,@Nicola27321449,M,1
712,@VCapurso,M,1
713,@AngeloCristofa3,M,1
714,@MaraSartori1,F,1
715,@FascianiRoberto,M,1
716,@Solloluigi1,M,1
717,@fran_colino,M,1
718,@GianlucaRomales,M,1
719,@simona_nardone,F,1
720,@lucataiti,M,1
721,@salvatorepomil2,M,1
722,@giulio14389576,M,1
723,@Leandrolibera20,M,1
724,@IlariaRocchi,F,1
725,@FPisotti,F,1
726,@Saverio66693212,M,1
727,@Balin13377287,M,1
728,@gbaffino,M,1
729,@AURORA65388938,F,1
730,@manucaporale,M,1
731,@rosydalessio,F,1
732,@66Adina,F,1
733,@SalvatoreLupo11,M,1
734,@GiuseppeIppol20,M,1
735,@Simone77772131,M,1
736,@80mauri,M,1
737,@DussichPier,M,-1
738,@Sara22431882,F,1
739,@rita_longhin,F,1
740,@Matthaeus59,M,1
741,@EliCincotti,M,1
742,@thedoctorgigi,M,1
743,@laura_leskov,F,1
744,@GiuseppePusced4,M,1
745,@BeneBenio,M,1
746,@ChristianManili,M,1
747,@luclaura,F,1
748,@Susanna15413826,M,1
749,@MarcelloAllocca,M,1
750,@Mariang68993227,F,1
751,@Lo62renzo,M,1
752,@alessan90805240,M,1
753,@Florinda2012,F,1
754,@ondemike,M,1
755,@marinelladerose,M,1
756,@fabiovinci84,M,1
757,@pedros1897,M,1
758,@Linda2018LG,F,1
759,@leoqu8,M,1
760,@Salvato59393819,M,1
761,@GiuseppeMario14,M,1
762,@RobertaCuocolo,F,1
763,@NoaroA,F,1
764,@Donato66604413,M,1
765,@NicolaAzara,M,1
766,@NicolaDePasqua6,M,1
767,@FioraniE,M,1
768,@Angie95485992,M,1
769,@gianluca_It,M,1
770,@AscenziPaolo,M,1
771,@adelecola21,F,1
772,@Guseppe15501745,M,1
773,@Marco6002,M,1
774,@desole_a,M,1
775,@p_ziveri,M,1
776,@avmcommerce,U,1
777,@GinoVene,M,1
778,@YuppieDavide,M,1
779,@AOCampione,M,1
780,@marcotorricini,M,1
781,@MattiaDiflorio1,M,1
782,@Annadonato11,F,1
783,@FiorellaManago,F,1
784,@braveManSeven,M,1
785,@pozzi_francesca,F,1
786,@assunta2600,F,1
787,@StefanoNicoMass,M,1
788,@irene_miceli,F,1
789,@Daniele55052123,M,1
790,@AntonioDP77,M,1
791,@zorrozara77,M,1
792,@Peira_27,M,1
793,@Carmelacarmi65,F,1
794,@gieffekappa,M,1
795,@drsantini,M,1
796,@giorgiolga,F,1
797,@lauroaldo3,M,1
798,@22berry22,M,1
799,@galuppi_vito,M,1
800,@Marisa53945313,F,1
801,@ludoct,M,1
802,@alexmichy3,M,1
803,@27Greco,M,1
804,@nikozzzy,M,1
805,@maxfrancosr,M,1
806,@iaiapiante,F,1
807,@Massimo86550545,M,1
808,@maxmaximum63,M,1
809,@Paolo91296530,M,1
810,@GiuseppeFiore00,M,1
811,@GianlucaScalera,M,1
812,@liotoni60,M,1
813,@Emanuel98757340,M,1
814,@ManfrediGuttad2,M,1
815,@Andrea43129858,M,1
816,@DON_GINETTO,M,1
817,@BianchinCiccio,M,1
818,@MartinaGritti2,F,1
819,@cobra_otg_427,M,1
820,@giuliobecchi,M,1
821,@Carlettina72Cg,F,1
822,@BrunoGalli,M,1
823,@AAnsequi60,M,1
824,@Tindaro95519378,M,1
825,@beppeferri9649,M,1
826,@romitodelarocca,M,1
827,@Leonard33968045,M,1
828,@vincenz94103912,M,1
829,@Juri30563025,M,1
830,@PrinzioRita,M,1
831,@Julia18002513,F,1
832,@GRinaldini,M,1
833,@RMaielllo,M,1
834,@Constan47148407,M,1
835,@SusannaTrippa,F,1
836,@OscarStrano,M,1
837,@giusepp321,U,1
838,@barbaravola,F,1
839,@EleonoraVozzel1,F,1
840,@leolore,U,1
841,@AAnniceli,F,1
842,@FrancoDeGaetano,M,1
843,@Frances45265529,M,1
844,@Luigi67926281,M,1
845,@NordeSud2,U,1
846,@webmp,M,-1
847,@FabioVizzari,M,1
848,@NaldiRebecca,F,1
849,@carmelo_sicuso,M,1
850,@zenobi15,M,1
851,@davidcarneval10,M,1
852,@VirgilioBuffoni,M,1
853,@thelessirozzi,F,1
854,@vincenzodb1993,M,1
855,@MonicaGipsy,F,1
856,@FrankSime,M,1
857,@Hippo88181460,M,1
858,@caffiov,M,1
859,@LucaRossi666,M,1
860,@matteoparma,M,1
861,@savan39765808,M,1
862,@enricolamonica,M,1
863,@Camo82053619,M,1
864,@605e332b1f9f44c,M,1
865,@alessan43795821,M,1
866,@mic5oc5,M,1
867,@Daniele_Veca,M,1
868,@Loregun_,M,1
869,@caserta_lella,F,1
870,@Simona04516359,F,1
871,@PAOLOPOLPALA75,M,1
872,@AleZuccotti,M,1
873,@ComeauLouise,M,1
874,@romeo_zanotto,M,1
875,@SilviaMigliori1,F,1
876,@sergio_polimeni,M,1
877,@Antonio61775406,M,1
878,@VoloSmania,M,1
879,@marcopisky,M,1
880,@Enrico04327143,M,1
881,@salvinianadoc,F,1
882,@patriotaitalian,M,1
883,@MarkoF11,M,1
884,@MarcoCarletti74,M,1
885,@TorelliFabio,M,-1
886,@eliomauceri,M,1
887,@papavero1993,M,1
888,@JonathanFesta3,M,1
889,@1959_vincenzo,M,1
890,@Stefano63664901,M,1
891,@Franco_mare,M,1
892,@AgostinoSalza,M,1
893,@Dario33883068,M,1
894,@mannarino_luca,M,1
895,@GlobalPartssrl,U,1
896,@invano94,M,1
897,@Luca63316200,M,1
898,@oMASSIo,M,1
899,@IPaielli,M,1
900,@SixxiS73,U,1
901,@lauramostardini,F,1
902,@silviopagliari,M,1
903,@CrisPC47836812,M,1
904,@RGasponi,M,1
905,@riccardodgiusto,M,1
906,@marchino_17,M,1
907,@DottAngeloC,M,1
908,@rinorizzo,M,1
909,@Sospeso4,M,1
910,@elprofe83459949,M,1
911,@raul78788,M,1
912,@BABA35676162,M,1
913,@ozzy59279,M,1
914,@xilax65,U,1
915,@TizianaTiselli,F,1
916,@frank72009412,M,1
917,@makumba20458521,U,1
918,@deo_marco,M,1
919,@Look1406,M,1
920,@cacco72,M,1
921,@giovann22401270,M,1
922,@raggio_sandra,F,1
923,@barbaraselv,F,1
924,@byluke69,M,1
925,@angebia_,F,1
926,@Molinari56,M,1
927,@GreenEy87171873,U,1
928,@robyvise,M,1
929,@afgibi,M,1
930,@Cioninipaolo,M,1
931,@nfralollo,M,1
932,@VanesCarpi,M,1
933,@SilviaScogna,F,1
934,@indelicatoeyah1,M,1
935,@sceicco2007,M,1
936,@mipiaceilblu,U,1
937,@IAMMYLORD1,U,1
938,@lunatic79209903,F,1
939,@Aureliavale40,F,1
940,@GennaroScia,M,1
941,@BerselliThomas,M,1
942,@MMoonh,M,1
943,@La_Caputo,F,1
944,@Iolanda07658172,F,1
945,@SoraviaMario,M,1
946,@ParenteDavide,M,1
947,@rosamarialena,F,-1
948,@AnselmiDanilo,M,1
949,@lallagegina,F,1
