Twitter ID;User Name;Sex;SID 1;SID 2;SID 3;SID 4;SID 5;;;0;1;2;3;4;5;TASK
@NemoRsm;Vittorio Parrella;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@manumanu978;Santelmone Emanuele;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@AnnaritaPonteco;Annarita Pontecorvo;F;0;0;0;0;;no political tweets;;1;0;0;0;0;0;T2P3
@Ale_Cuccu86;Alessandro Cuccu;M;0;0;0;0;;no political tweets;;1;0;0;0;0;0;T2P3
@StefanoOrsini;Stefano Orsini;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@MBattistina;maria battistina;F;3;3;1;3;;;;0;0,25;0;0,75;0;0;T2P3
@faustomag;Fausto Maggio;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@lievemente;irene;F;4;4;4;4;;;;0;0;0;0;1;0;T2P3
@harley_men;Marco Fonclea;M;0;0;0;0;;against Salvini;;1;0;0;0;0;0;T2P3
@Gabbiacane;🇮🇹🇮🇹 Franco Marino Patriota 🇮🇹🇮🇹;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@ACalienni;antonio;M;3;3;3;3;;;;0;0;0;1;0;0;T2P3
@dudiski;Massimo dei Gambelli;M;1;3;3;1;;;;0;0,5;0;0,5;0;0;T2P3
@elisabettaiac;killer kilt;F;0;0;0;0;;no political tweets;;1;0;0;0;0;0;T2P3
@lindoscorpion;Linda Falanga;F;0;0;0;0;;no political tweets;;1;0;0;0;0;0;T2P3
@MissDaniChanel;Hydrax;F;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@Frances94022625;Francesco;M;3;3;1;5;;;;0;0,25;0;0,5;0;0,25;T2P3
@Irema64603951;Irema;F;0;0;0;0;;no political tweets;;1;0;0;0;0;0;T2P3
@ematomassini;Emanuele Tomassini;M;0;0;0;0;;no political tweets;;1;0;0;0;0;0;T2P3
@agofin;augusto finotti;M;0;0;0;0;;no political tweets;;1;0;0;0;0;0;T2P3
@franco_jack;jack 💗🇮🇹;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@lauraleghista;💚🍃🍀Laura🍀💚🍃;F;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@gianluca_crotti;Gianluca Crotti;M;0;0;0;0;;no political tweets;;1;0;0;0;0;0;T2P3
@bersagiudice;la Bea;F;1;1;3;1;;;;0;0,75;0;0,25;0;0;T2P3
@cecily5911;tolasudolsa🇮🇹💖#SalviniNonMollare;F;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@GiuseppeCadoni7;Giuseppe Cadoni;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@maxmasera;Max;M;3;1;1;1;;;;0;0,75;0;0,25;0;0;T2P3
@DorisD89660819;Doris D.;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@GiuseppeCollet5;Giuseppe Colletta;M;3;3;5;3;;;;0;0;0;0,75;0;0,25;T2P3
@Silvi93546770;Silvi;M;5;5;5;5;;;;0;0;0;0;0;1;T2P3
@DovahCris;Cristian;M;0;0;0;0;;no political tweets;;1;0;0;0;0;0;T2P3
@giorgio_cabibbo;Giorgio Cabibbo;M;1;1;2;1;;;;0;0,75;0,25;0;0;0;T2P3
@Delorenzoanna1;Deloren Anna;F;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@angeloiannie99;angelo ianniello;M;0;0;0;0;;can't understand;;1;0;0;0;0;0;T2P3
@gattivalter;ValterGatti;M;4;4;4;4;;;;0;0;0;0;1;0;T2P3
@DomenicoPantano;Domenico Pantano;M;3;3;1;1;;;;0;0,5;0;0,5;0;0;T2P3
@EmanueleDurin;emanuele durin;M;0;0;0;0;;no political tweets;;1;0;0;0;0;0;T2P3
@TerryUrbani;terry urbani;M;3;3;3;3;;;;0;0;0;1;0;0;T2P3
@Tiozzo92;Eleonora Tiozzo;F;5;5;5;5;;;;0;0;0;0;0;1;T2P3
@LegendeZurbaine;Francesco;M;2;3;3;3;;;;0;0;0,25;0,75;0;0;T2P3
@giuliana1655;giuliana;F;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@matteov91;Matteo Venturini;M;2;2;2;2;;;;0;0;1;0;0;0;T2P3
@IStraniero;Gobbo Aigor.;M;1;5;1;1;;;;0;0,75;0;0;0;0,25;T2P3
@marco72839376;marco;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@LelloMartorel;Lello Martorelli;M;3;1;1;3;;;;0;0,5;0;0,5;0;0;T2P3
@AgostinoPastore;ago;M;3;3;1;3;;;;0;0,25;0;0,75;0;0;T2P3
@AJDiaz08805426;A. J. Diaz;M;3;1;3;3;;;;0;0,25;0;0,75;0;0;T2P3
@soltantounuomo;soltantounuomo;M;1;3;1;1;;;;0;0,75;0;0,25;0;0;T2P3
@magnagiova;giovamagna;F;0;0;0;0;;against PD and M5S;;1;0;0;0;0;0;T2P3
@RondinaStefania;stefy #LaReteSiamoNoi;F;3;1;1;1;;;;0;0,75;0;0,25;0;0;T2P3
@CPTBALDO1;CPTBALDO;M;3;3;3;1;;;;0;0,25;0;0,75;0;0;T2P3
@nickkr1969;nick69;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@alessan03604374;alessandro gargione;M;1;3;1;3;;;;0;0,5;0;0,5;0;0;T2P3
@Gianfra12854586;Gianfranco;M;0;0;0;0;;no political tweets;;1;0;0;0;0;0;T2P3
@Eliwhinnie;Elisa Cavazza;F;0;0;0;0;;no political tweets;;1;0;0;0;0;0;T2P3
@manuxcecco;Manux🇮🇹;M;0;0;0;0;;no political tweets;;1;0;0;0;0;0;T2P3
@loghos33;Marcello Di Natale;M;0;0;0;0;;no political tweets;;1;0;0;0;0;0;T2P3
@PanciroliMatteo;Matteo Panciroli;M;2;2;2;2;;;;0;0;1;0;0;0;T2P3
@PietroMitis;Pietro Mitis;M;1;1;3;1;;;;0;0,75;0;0,25;0;0;T2P3
@FlavioGraz22;Flavio Graziano;M;0;0;0;0;;no political tweets;;1;0;0;0;0;0;T2P3
@Luciano001122;Luciano;M;1;3;1;1;;;;0;0,75;0;0,25;0;0;T2P3
@nuclearstrenght;dada;M;4;4;4;4;;;;0;0;0;0;1;0;T2P3
@perlucit;lucio;M;3;3;1;3;;;;0;0,25;0;0,75;0;0;T2P3
@0e48b952e3154d3;Paola Giusy;F;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@micheal60509043;micheal;M;1;3;3;3;;;;0;0,25;0;0,75;0;0;T2P3
@Massi7671;Massi767;M;0;0;0;0;;against everyone;;1;0;0;0;0;0;T2P3
@Lsandro65;Lorenzo 65;M;1;3;3;1;;;;0;0,5;0;0,5;0;0;T2P3
@albertodemartin;Alberto De Martin;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@etitti;sogno&realt@;M;3;3;1;1;;;;0;0,5;0;0,5;0;0;T2P3
@FrancesBalducci;Francesco Balducci;M;2;2;2;2;;;;0;0;1;0;0;0;T2P3
@danipreve1;prewin;M;3;1;1;1;;;;0;0,75;0;0,25;0;0;T2P3
@ubaldo50457805;ubaldo;M;3;3;3;3;;;;0;0;0;1;0;0;T2P3
@Antonel63382299;Antonella;F;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@christian_vit85;Christian InterFc;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@Rosario26272013;Rosario;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@martamotta10;marta motta;F;0;0;0;0;;can't understand;;1;0;0;0;0;0;T2P3
@mario_diba;Mario Di Bartolomeo;M;0;0;0;0;;no political tweets;;1;0;0;0;0;0;T2P3
@RobertoInnoce17;Roberto Innocenti;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@mariacaroleo;m;F;3;3;3;3;;;;0;0;0;1;0;0;T2P3
@ValerioLatini;Valerio Latini;M;0;0;0;0;;just one tweet pro Lega;;1;0;0;0;0;0;T2P3
@Alessan03452738;Alessandro;M;3;1;1;1;;;;0;0,75;0;0,25;0;0;T2P3
@rnorega;ricky norega;M;1;1;3;1;;;;0;0,75;0;0,25;0;0;T2P3
@CItalia85;Cambiamo l’Italia 🇮🇹;M;3;1;3;3;;;;0;0,25;0;0,75;0;0;T2P3
@megreliano1;Soso Danelia;F;3;1;5;5;;;;0;0,25;0;0,25;0;0,5;T2P3
@luca_moraglia;Luca;M;3;3;3;3;;;;0;0;0;1;0;0;T2P3
@AlessandraGhil3;Alessandra Ghilardi;F;0;0;0;0;;can't understand;;1;0;0;0;0;0;T2P3
@elisa79rossi;eliRo;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@DarioPocetti;Dario Pocetti;M;0;0;0;0;;no political tweets;;1;0;0;0;0;0;T2P3
@domenicofino1;DOMENICO FINO;M;0;0;0;0;;can't understand;;1;0;0;0;0;0;T2P3
@MancariPippo;Pippo Mancari;M;0;0;0;0;;can't understand;;1;0;0;0;0;0;T2P3
@GerardoGarg;Gerardo Gargiulo;M;0;0;0;0;;no political tweets;;1;0;0;0;0;0;T2P3
@MementoFabiano;Fabiano Angotti;M;0;0;0;0;;no political tweets;;1;0;0;0;0;0;T2P3
@GuglielmoFacco;Guglielmo Facco;M;1;1;1;3;;;;0;0,75;0;0,25;0;0;T2P3
@dezi_ale;Ale Dezi;M;0;0;0;0;;no political tweets;;1;0;0;0;0;0;T2P3
@Mario10496024;Mario;M;3;1;1;1;;;;0;0,75;0;0,25;0;0;T2P3
@Fabrizi88635872;Fabrizio;M;0;0;0;0;;no political tweets;;1;0;0;0;0;0;T2P3
@lucia_capellaro;Lucia Capellaro;F;1;1;3;3;;;;0;0,5;0;0,5;0;0;T2P3
@Frances02172542;Francesca;F;3;1;1;3;;;;0;0,5;0;0,5;0;0;T2P3
@Frencesco10;Frencesco 🇮🇹;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@PaoloPolimeno11;Paolo Polimeno 🇮🇹;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@furiopatri;Furio;M;1;1;3;3;;;;0;0,5;0;0,5;0;0;T2P3
@gaia32140307;gaia;F;3;3;3;3;;;;0;0;0;1;0;0;T2P3
@AntonioLuca3;Antonio Luca 🇮🇹;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@DenisBeppyno;Denis;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@iasco79;Andrea Iascone;M;0;0;0;0;;no political tweets;;1;0;0;0;0;0;T2P3
@dagno74;Daniele Rizzi;M;0;0;0;0;;no political tweets;;1;0;0;0;0;0;T2P3
@Nicola86492086;Nicola sempre con LUI 🇮🇹🇮🇹💚💚;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@fabioaltavilla1;fabio288;M;0;0;0;0;;no political tweets;;1;0;0;0;0;0;T2P3
@isi_restivo;Isi Restivo;M;3;4;4;3;;;;0;0;0;0,5;0,5;0;T2P3
@MiRisulta;Michele Esposito;M;3;3;2;2;;;;0;0;0,5;0,5;0;0;T2P3
@ZulliMatteo;Matteo Zulli;M;5;3;5;5;;;;0;0;0;0,25;0;0,75;T2P3
@AlSamengo;Alfonso Samengo;M;0;0;0;0;;can't understand;;1;0;0;0;0;0;T2P3
@LucaRus47787242;Luca Russo;M;3;2;2;2;;;;0;0;0,75;0,25;0;0;T2P3
@2mbarbara66;Barbara Marchesi;F;4;3;4;4;;;;0;0;0;0,25;0,75;0;T2P3
@Lucrezi06860184;Lucrezia Borgia;F;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@AlbertoVincenz3;Alberto Vincenzoni;M;1;1;3;3;;;;0;0,5;0;0,5;0;0;T2P3
@2_scaglia;SCAGLIA GIUSEPPE 1;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@MarcoBracony;Marco Bracony;M;0;0;0;0;;No political tweets;;1;0;0;0;0;0;T2P3
@samaris62_salvo;SALVO MARISCHI;M;3;3;3;3;;;;0;0;0;1;0;0;T2P3
@seeyoulater1165;seeyoulater1165;M;0;0;0;0;;No political tweets;;1;0;0;0;0;0;T2P3
@Angy18508694;"Angy 🍀⚾🌹 ""Semper deinceps!!!""";F;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@Lylia89892771;Lylia;F;0;0;0;0;;can't understand;;1;0;0;0;0;0;T2P3
@26304f7d95f84d8;Met001;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@DjCalletti1;🇦🇷 🇦🇷 N-A-P-O-L-E-T-A-N-O 🇦🇷 🇦🇷;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@JZaghet;Jessica Zaghet;F;0;0;0;0;;No political tweets;;1;0;0;0;0;0;T2P3
@lorenzobianchi9;lorenzo bianchi;M;0;0;0;0;;No political tweets;;1;0;0;0;0;0;T2P3
@dgiumanini;Dante Giumanini;M;0;0;0;0;;can't understand;;1;0;0;0;0;0;T2P3
@GranelliTiziana;Tiziana;F;0;0;0;0;;can't understand;;1;0;0;0;0;0;T2P3
@Giu_Lauricella;Giuseppe Lauricella;M;0;0;0;0;;can't understand;;1;0;0;0;0;0;T2P3
@ErikaCarozzo;erika carozzo;F;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@FurgiuelePaolo;paolo furgiuele;M;1;1;3;3;;;;0;0,5;0;0,5;0;0;T2P3
@Emanuel96642522;Emanuele;M;0;0;0;0;;can't understand;;1;0;0;0;0;0;T2P3
@ale111169;alessandro;M;3;3;4;4;;;;0;0;0;0,5;0,5;0;T2P3
@cristia14505589;cristiano;M;0;0;0;0;;No political tweets;;1;0;0;0;0;0;T2P3
@smrossi61_rossi;Silvia Rossi;F;1;3;3;3;;;;0;0,25;0;0,75;0;0;T2P3
@StefanoBozza6;Stefano Bozza;M;0;0;0;0;;No political tweets;;1;0;0;0;0;0;T2P3
@HarlanDraka;Carlo Andrea Reale;M;0;0;0;0;;No political tweets;;1;0;0;0;0;0;T2P3
@Antonin92413762;Antonino;M;3;3;1;1;;;;0;0,5;0;0,5;0;0;T2P3
@luciaalu1970;Lucia;F;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@maddog75;Riccardo Rossi;M;1;1;3;3;;;;0;0,5;0;0,5;0;0;T2P3
@pistoleropio;Pistoleropio;M;0;0;0;0;;No political tweets;;1;0;0;0;0;0;T2P3
@ValeriaDalLago;Valeria Dal Lago;F;3;1;3;3;;;;0;0,25;0;0,75;0;0;T2P3
@LuigiPetraroli;Luigi Francesco Petraroli;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@LucianoTiramani;luciano tiramani;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@SilviaGaiaMM;Silvia Gaia;F;1;1;1;3;;;;0;0,75;0;0,25;0;0;T2P3
@bardofula;BARDOFULA;F;3;3;3;3;;;;0;0;0;1;0;0;T2P3
@NinoPalmisano3;Nino Palmisano;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@PiergiZek;Piergiorgio Zecchin;M;0;0;0;0;;can't understand;;1;0;0;0;0;0;T2P3
@mrprof63;Giuseppe Marcaccio;M;1;1;3;3;;;;0;0,5;0;0,5;0;0;T2P3
@Stefano83007060;StefanoPrincipe;M;0;0;0;0;;can't understand;;1;0;0;0;0;0;T2P3
@evilgenius58;Gpaolo;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@depalmag1949;Nuccio Depalma;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@mariapi74057427;maria pia;F;3;3;3;3;;;;0;0;0;1;0;0;T2P3
@M_Liverani;Marcello Liverani;M;3;3;3;3;;;;0;0;0;1;0;0;T2P3
@DaniloGinestra;Danilo Ginestra;M;1;1;3;3;;;;0;0,5;0;0,5;0;0;T2P3
@johnnypizzulli;Johnny Pizzulli aka Genusia Immobiliare;M;1;3;1;3;;;;0;0,5;0;0,5;0;0;T2P3
@Leonard86353088;Leonard Da Sondrio🎨;M;3;3;1;1;;;;0;0,5;0;0,5;0;0;T2P3
@Alessan20341293;ALEX 78..;M;1;3;3;3;;;;0;0,25;0;0,75;0;0;T2P3
@MSembianti;Maria Teresa Sembianti;F;3;3;1;1;;;;0;0,5;0;0,5;0;0;T2P3
@rosario_contini;Rosario;M;3;3;3;1;;;;0;0,25;0;0,75;0;0;T2P3
@MirtilloKyani;Alexandro;M;1;1;3;3;;;;0;0,5;0;0,5;0;0;T2P3
@PEINTRE56;Peintre;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@MicheleCenedese;Michele Cenedese;M;0;0;0;0;;No political tweets;;1;0;0;0;0;0;T2P3
@GabrieleScimone;Gabriele Scimone;M;3;3;3;3;;;;0;0;0;1;0;0;T2P3
@ivonecarr66;IVONEGC66;M;1;3;3;1;;;;0;0,5;0;0,5;0;0;T2P3
@SamueleUttini;Samuele;M;0;0;0;0;;No political tweets;;1;0;0;0;0;0;T2P3
@DavideMonti_72;Davide Monti;M;0;0;0;0;;can't understand;;1;0;0;0;0;0;T2P3
@VendraminA;alberto vendramin;M;1;1;1;3;;;;0;0,75;0;0,25;0;0;T2P3
@stefanozauli;Stefano Zauli;M;0;0;0;0;;can't understand;;1;0;0;0;0;0;T2P3
@lucianoit;luciano serra;M;0;0;0;0;;can't understand;;1;0;0;0;0;0;T2P3
@CarloCofrances1;Carlo Cofrancesco;M;3;3;3;3;;;;0;0;0;1;0;0;T2P3
@Gius54559171;Gius;M;1;1;1;3;;;;0;0,75;0;0,25;0;0;T2P3
@corrado74440496;corrado brandi;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@AttilioGigli;GigliAttilio;M;0;0;0;0;;can't understand;;1;0;0;0;0;0;T2P3
@88Nzi;Andreas FN 88 NZI;M;1;1;3;3;;;;0;0,5;0;0,5;0;0;T2P3
@MariaGr58193037;Maria Grazia;F;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@Bellavita62;Claudio Cavanna;M;0;0;0;0;;No political tweets;;1;0;0;0;0;0;T2P3
@aniaRosaspina;vania rosaspina;F;3;3;3;3;;;;0;0;0;1;0;0;T2P3
@Nicolgentilcor4;Nicolò gentilcore;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@federomantica;Federica;F;0;0;0;0;;No political tweets;;1;0;0;0;0;0;T2P3
@PierozziDaniela;daniela;F;3;1;3;1;;;;0;0,5;0;0,5;0;0;T2P3
@TjGianfranco;GianfrancoTj;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@Andrea__AD;Andrea Antonelli D;M;0;0;0;0;;can't understand;;1;0;0;0;0;0;T2P3
@Maria32595924;Maria;F;3;1;1;1;;;;0;0,75;0;0,25;0;0;T2P3
@ValerioOreste;Valerio Oreste;M;0;0;0;0;;No political tweets;;1;0;0;0;0;0;T2P3
@thetopover60;Gianni Montagna;M;3;3;3;3;;;;0;0;0;1;0;0;T2P3
@Deborah95757878;Deborah;F;1;1;3;3;;;;0;0,5;0;0,5;0;0;T2P3
@KriptonDi;Gianni Di;M;3;1;1;3;;;;0;0,5;0;0,5;0;0;T2P3
@gdegradi;Giuseppe Degradi;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@roccosmile81;Rocco La Rosa;M;3;3;3;3;;;;0;0;0;1;0;0;T2P3
@amive;amelia venturino;F;0;0;0;0;;No political tweets;;1;0;0;0;0;0;T2P3
@mariani1956lia2;mariani1956liana;F;1;1;3;3;;;;0;0,5;0;0,5;0;0;T2P3
@FabriFormicola;Fabrizio Formicola;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@Luigi_Godi;Luigi Godi;M;0;0;0;0;;No political tweets;;1;0;0;0;0;0;T2P3
@ananiasas;domenico anania;M;0;0;0;0;;can't understand;;1;0;0;0;0;0;T2P3
@ElisaBertarelli;Elisa Bertarelli;F;0;0;0;0;;can't understand;;1;0;0;0;0;0;T2P3
@cri19631;CRICRI;F;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@AndySantopietro;Andrea Santopietro;M;0;0;0;0;;No political tweets;;1;0;0;0;0;0;T2P3
@ROBERTOCERVA;ROBERTO CERVA;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@marino_coni;marino coni;M;0;0;0;0;;can't understand;;1;0;0;0;0;0;T2P3
@curatolo_simona;Simona Strega;F;0;0;0;0;;can't understand;;1;0;0;0;0;0;T2P3
@elba_uribe;Elba.uribe;F;1;3;3;1;;;;0;0,5;0;0,5;0;0;T2P3
@AntonioComigna1;Antonio Comignani;M;3;3;3;3;;;;0;0;0;1;0;0;T2P3
@AlessandraCecc;Alessandra;F;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@luciolibonati;lucio libonati;M;0;0;0;0;;can't understand;;1;0;0;0;0;0;T2P3
@sguglielm0;Grande Giove!;M;3;3;3;3;;;;0;0;0;1;0;0;T2P3
@MarcoGrandolini;Marco Grandolini;M;0;0;0;0;;can't understand;;1;0;0;0;0;0;T2P3
@Monica83574402;Monica;F;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@Avvocata2;@Avvocata;F;1;1;3;3;;;;0;0,5;0;0,5;0;0;T2P3
@SRainbowtie;Sir RainBOWtie;M;3;1;1;3;;;;0;0,5;0;0,5;0;0;T2P3
@AntonioTolomeo5;Antonio Tolomeo;M;0;0;0;0;;can't understand;;1;0;0;0;0;0;T2P3
@AndreaMarini_99;Andrea;M;0;0;0;0;;can't understand;;1;0;0;0;0;0;T2P3
@GiovanniBrino;Giovanni Di Brino;M;0;0;0;0;;No political tweets;;1;0;0;0;0;0;T2P3
@Giangaetano9;Giangaetano;M;0;0;0;0;;can't understand;;1;0;0;0;0;0;T2P3
@monica_goracci;Monica Goracci;F;1;1;3;3;;;;0;0,5;0;0,5;0;0;T2P3
@ag_boretti;🇮🇹 A.G.Boretti Photography;M;3;3;1;1;;;;0;0,5;0;0,5;0;0;T2P3
@Massimi33485395;Massimiliano;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@giovanni_chiuri;Chiuri Giovanni;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@tecnomariner;Tecnomariner;M;4;4;4;4;;;;0;0;0;0;1;0;T2P3
@M_decimoMeridio;𝗠𝗮𝘅𝗶𝗺𝘂𝘀 𝗫° 𝗠𝗲𝗿𝗶𝗱𝗶𝘂𝘀🇮🇹;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@PPetroni2;Petroni Stefano;M;0;0;0;0;;No political tweets;;1;0;0;0;0;0;T2P3
@EleonoraBrill;Eleonora Brill;F;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@cmcesare;cc;M;3;3;3;3;;;;0;0;0;1;0;0;T2P3
@Damians91;Damiano;M;3;3;3;3;;;;0;0;0;1;0;0;T2P3
@BADU____;BADU;M;0;0;0;0;;can't understand;;1;0;0;0;0;0;T2P3
@actarus4175;Acta;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@viaggiatore01;giovanni;M;3;3;3;3;;;;0;0;0;1;0;0;T2P3
@cabba33;alessandro cavaliere;M;1;1;3;3;;;;0;0,5;0;0,5;0;0;T2P3
@TucciOreste;tucci ilario oreste;M;1;1;1;1;;;;0;1;0;0;0;0;T2P3
@Roberta29517253;Roberta;F;1;3;3;1;;;;0;0,5;0;0,5;0;0;T2P3
@fotovoltaico_Sr;Giorgio Colombo;M;1;1;3;3;;;;0;0,5;0;0,5;0;0;T2P3
